описание	O
вакансии	O

"	O
рассматрив	O
##аем	O
кандидатов	O
без	B-Опыт работы
опыта	I-Опыт работы
работы	I-Опыт работы
!	O
!	O
!	O
с	O
16	O
лет	O
!	O
обязанности	O
:	O
продвигать	B-Обязанности
услуги	I-Обязанности
компании	I-Обязанности
(	I-Обязанности
интернет	I-Обязанности
,	I-Обязанности
тв	I-Обязанности
,	I-Обязанности
мобильная	I-Обязанности
связь	I-Обязанности
)	I-Обязанности
консульт	I-Обязанности
##ировать	I-Обязанности
клиентов	I-Обязанности
по	I-Обязанности
действующим	I-Обязанности
тарифам	I-Обязанности
и	I-Обязанности
акциям	I-Обязанности
оформлять	I-Обязанности
заявки	I-Обязанности
на	I-Обязанности
подключение	I-Обязанности
услуг	I-Обязанности
вести	I-Обязанности
отчетность	I-Обязанности
требования	O
:	O
желание	O
работать	O
и	O
зарабатывать	O
стремление	O
к	O
личному	O
результату	O
позитивный	O
настрой	O
умение	B-Дополнительные требования
работать	I-Дополнительные требования
в	I-Дополнительные требования
команде	I-Дополнительные требования
ты	O
получ	O
##аешь	O
:	O
индивидуальный	B-График работы
график	I-График работы
работы	I-График работы
,	O
совмещение	B-График работы
с	I-График работы
учеб	I-График работы
##ой	I-График работы
возможность	B-График работы
взять	I-График работы
свободное	I-График работы
посещение	I-График работы
от	I-График работы
учебы	I-График работы
(	I-График работы
прохождение	I-График работы
практики	I-График работы
)	I-График работы
шанс	O
заработать	O
столько	O
,	O
сколько	O
зах	O
##оче	O
##шь	O
с	O
первого	O
дня	O
доп	O
.	O
мотива	O
##цию	O
в	O
первые	O
3	O
месяца	O
работы	O
в	O
размере	O
10	O
.	O
000	O
руб	O
опытного	O
наставника	O
,	O
который	O
науч	O
##ит	O
,	I-Обязанности
покажет	O
и	O
расскажет	O
команду	O
в	O
который	O
смож	O
##ешь	O
расти	O
и	O
развиваться	O
возможность	O
вносить	O
свои	O
идеи	O
для	O
реализации	O
в	O
работе	O
возможность	O
завести	O
полезные	O
знакомства	O
официальное	O
трудоустро	O
##й	O
##ство	O
по	I-Обязанности
договору	O
гражданско	O
-	O
правового	O
характера	O
корпоратив	O
##ное	O
обучение	O
(	O
простое	O
и	O
понятно	O
##е	O
)	I-Обязанности
повышение	O
своего	O
уровня	O
компет	O
##енций	O
до	O
уровня	O
топ	O
если	O
тебя	O
заинтерес	O
##овала	O
данная	O
ваканс	O
##ия	O
я	O
жд	I-График работы
##у	I-График работы
именно	O
твой	O
отклик	O
.	O
до	O
встречи	O
на	O
собесед	O
##овании	O
!	O
"	O

"	O
вечерний	O
продавец	O
(	O
под	B-График работы
##работка	B-График работы
)	O
рассматрив	O
##аем	O
кандидатов	O
без	B-Опыт работы
опыта	I-Опыт работы
работы	O
!	O
!	O
!	O
с	O
16	O
лет	O
!	O
обязанности	O
:	O
продвигать	B-Обязанности
услуги	I-Обязанности
компании	I-Обязанности
консульт	B-Обязанности
##ировать	B-Обязанности
клиентов	I-Обязанности
по	I-Обязанности
действующим	I-Обязанности
тарифам	I-Обязанности
и	I-Обязанности
акциям	I-Обязанности
оформлять	B-Обязанности
заявки	I-Обязанности
на	I-Обязанности
подключение	I-Обязанности
вносить	B-Обязанности
данные	I-Обязанности
в	I-Обязанности
программу	I-Обязанности
вести	B-Обязанности
отчетность	I-Обязанности
требования	O
:	O
желание	B-Дополнительные требования
зарабатывать	I-Дополнительные требования
стремление	B-Дополнительные требования
к	I-Дополнительные требования
результату	I-Дополнительные требования
быть	B-Дополнительные требования
ориентирован	I-Дополнительные требования
##ным	I-Дополнительные требования
на	I-Обязанности
результат	I-Дополнительные требования
хот	B-Дополнительные требования
##еть	B-Дополнительные требования
расти	I-Дополнительные требования
и	I-Дополнительные требования
становится	I-Дополнительные требования
лучше	I-Дополнительные требования
ты	O
получ	O
##аешь	O
:	O
шанс	O
заработать	O
столько	O
,	O
сколько	O
зах	O
##оче	O
##шь	O
доп	O
.	O
мотива	O
##цию	O
в	O
первые	O
3	O
месяца	O
работы	O
в	O
размере	O
9	O
.	O
000	O
руб	O
опытного	O
наставника	O
который	O
науч	O
##ит	O
,	O
покажет	O
и	O
расскажет	O
команду	O
в	O
который	O
смож	O
##ешь	O
расти	I-Дополнительные требования
и	I-Дополнительные требования
развиваться	O
возможность	O
вносить	O
свои	O
идеи	O
для	O
реализации	O
в	O
работе	O
индивидуальный	B-График работы
график	I-График работы
работы	I-График работы
,	O
совмещение	B-График работы
с	I-График работы
учеб	I-График работы
##ой	I-График работы
возможность	O
завести	O
полезные	O
знакомства	O
трудоустро	O
##й	O
##ство	O
по	B-График работы
договору	O
гражданско	O
-	O
правового	O
характера	O
полный	O
доступ	O
к	O
онлайн	O
университету	O
компании	O
с	O
сотнями	O
книг	O
и	O
лекций	O
повысить	O
свой	O
уровень	O
компет	O
##енций	O
до	O
уровня	O
топ	O
если	O
тебя	O
заинтерес	O
##овала	O
данная	O
ваканс	O
##ия	O
я	O
жд	O
##у	O
именно	O
твой	O
отклик	O
.	O
до	O
встречи	O
на	O
собесед	O
##овании	O
!	O
"	O

"	O
рассматрив	O
##аем	O
кандидатов	O
без	B-Опыт работы
опыта	I-Опыт работы
работы	O
!	O
!	O
!	O
обязанности	O
:	O
продвигать	B-Обязанности
услуги	I-Обязанности
компании	I-Обязанности
консульт	B-Обязанности
##ировать	B-Обязанности
клиентов	I-Обязанности
по	I-Обязанности
действующим	I-Обязанности
тарифам	I-Обязанности
и	I-Обязанности
акциям	I-Обязанности
оформлять	B-Обязанности
заявки	I-Обязанности
на	I-Обязанности
подключение	I-Обязанности
вносить	B-Обязанности
данные	I-Обязанности
в	I-Обязанности
программу	I-Обязанности
вести	B-Обязанности
отчетность	I-Обязанности
требования	O
:	O
желание	B-Дополнительные требования
зарабатывать	I-Дополнительные требования
стремление	B-Дополнительные требования
к	I-Дополнительные требования
результату	I-Дополнительные требования
быть	B-Дополнительные требования
ориентирован	I-Дополнительные требования
##ным	I-Дополнительные требования
на	I-Обязанности
результат	I-Дополнительные требования
хот	B-Дополнительные требования
##еть	B-Дополнительные требования
расти	I-Дополнительные требования
и	I-Дополнительные требования
становится	I-Дополнительные требования
лучше	I-Дополнительные требования
ты	O
получ	O
##аешь	O
:	O
шанс	O
заработать	O
столько	O
,	O
сколько	O
зах	O
##оче	O
##шь	O
доп	O
.	O
мотива	O
##цию	O
в	O
первые	O
3	O
месяца	O
работы	O
в	O
размере	O
10	O
.	O
000	O
руб	O
опытного	O
наставника	O
который	O
науч	O
##ит	O
,	O
покажет	O
и	O
расскажет	O
команду	O
в	O
который	O
смож	O
##ешь	O
расти	I-Дополнительные требования
и	I-Дополнительные требования
развиваться	O
возможность	O
вносить	O
свои	O
идеи	O
для	O
реализации	O
в	O
работе	O
индивидуальный	B-График работы
график	I-График работы
работы	I-График работы
,	O
совмещение	B-График работы
с	I-График работы
учеб	I-График работы
##ой	I-График работы
возможность	O
завести	O
полезные	O
знакомства	O
трудоустро	O
##й	O
##ство	O
по	I-Обязанности
договору	O
гражданско	O
-	O
правового	O
характера	O
полный	O
доступ	O
к	O
онлайн	O
университету	O
компании	O
с	O
сотнями	O
книг	O
и	O
лекций	O
повысить	O
свой	O
уровень	O
компет	O
##енций	O
до	O
уровня	O
топ	O
если	O
тебя	O
заинтерес	O
##овала	O
данная	O
ваканс	O
##ия	O
я	O
жд	O
##у	O
именно	O
твой	O
отклик	O
.	O
до	O
встречи	O
на	O
собесед	O
##овании	O
!	O
"	O

"	O
рассматрив	O
##аем	O
кандидатов	O
без	B-Опыт работы
опыта	I-Опыт работы
работы	O
!	O
!	O
!	O
с	O
16	O
лет	O
!	O
обязанности	O
:	O
продвигать	B-Обязанности
услуги	I-Обязанности
компании	I-Обязанности
(	B-Обязанности
интернет	I-Обязанности
,	I-Обязанности
тв	I-Обязанности
,	I-Обязанности
мобильная	I-Обязанности
связь	I-Обязанности
)	I-Обязанности
консульт	B-Обязанности
##ировать	B-Обязанности
клиентов	I-Обязанности
по	I-Обязанности
действующим	I-Обязанности
тарифам	I-Обязанности
и	I-Обязанности
акциям	I-Обязанности
оформлять	B-Обязанности
заявки	I-Обязанности
на	I-Обязанности
подключение	I-Обязанности
услуг	I-Обязанности
вести	B-Обязанности
отчетность	I-Обязанности
требования	O
:	O
желание	B-Дополнительные требования
работать	I-Дополнительные требования
и	I-Дополнительные требования
зарабатывать	I-Дополнительные требования
стремление	B-Дополнительные требования
к	I-Дополнительные требования
личному	I-Дополнительные требования
результату	I-Дополнительные требования
позитивный	B-Дополнительные требования
настрой	I-Дополнительные требования
умение	B-Дополнительные требования
работать	I-Дополнительные требования
в	I-Дополнительные требования
команде	I-Дополнительные требования
ты	O
получ	O
##аешь	O
:	O
индивидуальный	B-График работы
график	I-График работы
работы	O
,	O
совмещение	B-График работы
с	I-График работы
учеб	I-График работы
##ой	I-График работы
возможность	O
взять	O
свободное	B-График работы
посещение	I-График работы
от	I-График работы
учебы	I-График работы
(	O
прохождение	O
практики	O
)	O
шанс	O
заработать	O
столько	O
,	O
сколько	O
зах	O
##оче	O
##шь	O
с	O
первого	O
дня	O
доп	O
.	O
мотива	O
##цию	O
в	O
первые	O
3	O
месяца	O
работы	O
в	O
размере	O
10	O
.	O
000	O
руб	O
опытного	O
наставника	O
,	O
который	O
науч	O
##ит	O
,	I-Обязанности
покажет	O
и	O
расскажет	O
команду	O
в	O
который	O
смож	O
##ешь	O
расти	O
и	O
развиваться	O
возможность	O
вносить	O
свои	O
идеи	O
для	O
реализации	O
в	O
работе	O
возможность	O
завести	O
полезные	O
знакомства	O
трудоустро	O
##й	O
##ство	O
по	I-Обязанности
договору	O
гражданско	O
-	O
правового	O
характера	O
корпоратив	O
##ное	O
обучение	O
(	O
простое	O
и	O
понятно	O
##е	O
)	I-Обязанности
повышение	O
своего	O
уровня	O
компет	O
##енций	O
до	O
уровня	O
топ	O
если	O
тебя	O
заинтерес	O
##овала	O
данная	O
ваканс	O
##ия	O
я	O
жд	O
##у	O
именно	O
твой	O
отклик	O
.	O
до	O
встречи	O
на	O
собесед	O
##овании	O
!	O
"	O
